tvg_name	title	original_tvg_id	effective_tvg_id
#### PRIME ᴿᴬᵂ ⁶⁰ᶠᵖˢ #####	#### PRIME ᴿᴬᵂ ⁶⁰ᶠᵖˢ #####		prime-2d9b.auto
PRIME: AMERICAN CRIMES ᴿᴬᵂ	PRIME: AMERICAN CRIMES ᴿᴬᵂ		prime-american-crimes-fa68.auto
PRIME: ARE WE THERE YET? ᴿᴬᵂ	PRIME: ARE WE THERE YET? ᴿᴬᵂ		prime-are-we-there-yet-0e44.auto
PRIME: AX MEN ᴿᴬᵂ	PRIME: AX MEN ᴿᴬᵂ		prime-ax-men-e73c.auto
PRIME: BAYWATCH ᴿᴬᵂ	PRIME: BAYWATCH ᴿᴬᵂ		prime-baywatch-b2e1.auto
PRIME: BEYOND BELIEF: FACT OR FICTION ᴿᴬᵂ	PRIME: BEYOND BELIEF: FACT OR FICTION ᴿᴬᵂ		prime-beyond-belief-fact-or-fiction-2983.auto
PRIME: BIONIC WOMAN ᴿᴬᵂ	PRIME: BIONIC WOMAN ᴿᴬᵂ		prime-bionic-woman-4984.auto
PRIME: BLOODLINE DETECTIVES ᴿᴬᵂ	PRIME: BLOODLINE DETECTIVES ᴿᴬᵂ		prime-bloodline-detectives-1f81.auto
PRIME: BLOOMBERG ORIGINALS ᴿᴬᵂ	PRIME: BLOOMBERG ORIGINALS ᴿᴬᵂ		prime-bloomberg-originals-a712.auto
PRIME: BLOOMBERG TV+ ᴿᴬᵂ	PRIME: BLOOMBERG TV+ ᴿᴬᵂ		prime-bloomberg-tv-0e97.auto
PRIME: BONDI RESCUE ᴿᴬᵂ	PRIME: BONDI RESCUE ᴿᴬᵂ		prime-bondi-rescue-26cf.auto
PRIME: CHEATERS ᴿᴬᵂ	PRIME: CHEATERS ᴿᴬᵂ		prime-cheaters-47f1.auto
PRIME: CNN HEADLINES ᴿᴬᵂ	PRIME: CNN HEADLINES ᴿᴬᵂ		prime-cnn-headlines-4c5d.auto
PRIME: CNN INTERNATIONAL ᴿᴬᵂ	PRIME: CNN INTERNATIONAL ᴿᴬᵂ		prime-cnn-international-3026.auto
PRIME: DATELINE 24/7 ᴿᴬᵂ	PRIME: DATELINE 24/7 ᴿᴬᵂ		prime-dateline-24-7-a18d.auto
PRIME: DEADLY WOMEN ᴿᴬᵂ	PRIME: DEADLY WOMEN ᴿᴬᵂ		prime-deadly-women-92c0.auto
PRIME: DEAL MASTERS ᴿᴬᵂ	PRIME: DEAL MASTERS ᴿᴬᵂ		prime-deal-masters-0e03.auto
PRIME: DOG THE BOUNTY HUNTER ᴿᴬᵂ	PRIME: DOG THE BOUNTY HUNTER ᴿᴬᵂ		prime-dog-the-bounty-hunter-9ff2.auto
PRIME: DP WORLD TOUR ᴿᴬᵂ	PRIME: DP WORLD TOUR ᴿᴬᵂ		prime-dp-world-tour-40f6.auto
PRIME: DR. G: MEDICAL EXAMINER ᴿᴬᵂ	PRIME: DR. G: MEDICAL EXAMINER ᴿᴬᵂ		prime-dr-g-medical-examiner-6f58.auto
PRIME: DUCK DYNASTY ᴿᴬᵂ	PRIME: DUCK DYNASTY ᴿᴬᵂ		prime-duck-dynasty-18fc.auto
PRIME: EURO CRIME ᴿᴬᵂ	PRIME: EURO CRIME ᴿᴬᵂ		prime-euro-crime-dd4a.auto
PRIME: EURONEWS ᴿᴬᵂ	PRIME: EURONEWS ᴿᴬᵂ		prime-euronews-a120.auto
PRIME: FAIL ARMY ᴿᴬᵂ	PRIME: FAIL ARMY ᴿᴬᵂ		prime-fail-army-9eee.auto
PRIME: FIFA+ ᴿᴬᵂ	PRIME: FIFA+ ᴿᴬᵂ		prime-fifa-2d68.auto
PRIME: FIFTH GEAR ᴿᴬᵂ	PRIME: FIFTH GEAR ᴿᴬᵂ		prime-fifth-gear-d38e.auto
PRIME: GHOST HUNTERS ᴿᴬᵂ	PRIME: GHOST HUNTERS ᴿᴬᵂ		prime-ghost-hunters-85e9.auto
PRIME: GRAHAM NORTON SHOW ᴿᴬᵂ	PRIME: GRAHAM NORTON SHOW ᴿᴬᵂ		prime-graham-norton-show-3433.auto
PRIME: HE-MAN & MASTERS OF THE UNIVERSE ᴿᴬᵂ	PRIME: HE-MAN & MASTERS OF THE UNIVERSE ᴿᴬᵂ		prime-he-man-masters-of-the-universe-fff6.auto
PRIME: HEARTLAND ᴿᴬᵂ	PRIME: HEARTLAND ᴿᴬᵂ		prime-heartland-4788.auto
PRIME: HIGHWAY THRU HELL ᴿᴬᵂ	PRIME: HIGHWAY THRU HELL ᴿᴬᵂ		prime-highway-thru-hell-5581.auto
PRIME: HISTORY HUNTERS ᴿᴬᵂ	PRIME: HISTORY HUNTERS ᴿᴬᵂ		prime-history-hunters-f1dc.auto
PRIME: HOARDERS ᴿᴬᵂ	PRIME: HOARDERS ᴿᴬᵂ		prime-hoarders-e2aa.auto
PRIME: HOMES UNDER THE HAMMER ᴿᴬᵂ	PRIME: HOMES UNDER THE HAMMER ᴿᴬᵂ		prime-homes-under-the-hammer-10af.auto
PRIME: I SURVIVED... ᴿᴬᵂ	PRIME: I SURVIVED... ᴿᴬᵂ		prime-i-survived-71f2.auto
PRIME: IN THE HEAT OF THE NIGHT ᴿᴬᵂ	PRIME: IN THE HEAT OF THE NIGHT ᴿᴬᵂ		prime-in-the-heat-of-the-night-6d9e.auto
PRIME: INSIDE CRIME ᴿᴬᵂ	PRIME: INSIDE CRIME ᴿᴬᵂ		prime-inside-crime-f321.auto
PRIME: INTERVENTION ᴿᴬᵂ	PRIME: INTERVENTION ᴿᴬᵂ		prime-intervention-f205.auto
PRIME: JAIL ᴿᴬᵂ	PRIME: JAIL ᴿᴬᵂ		prime-jail-502d.auto
PRIME: JUDY JUSTICE ᴿᴬᵂ	PRIME: JUDY JUSTICE ᴿᴬᵂ		prime-judy-justice-ee67.auto
PRIME: LALIGATV ᴿᴬᵂ	PRIME: LALIGATV ᴿᴬᵂ		prime-laligatv-ad0e.auto
PRIME: MARRIED TO MEDICINE ᴿᴬᵂ	PRIME: MARRIED TO MEDICINE ᴿᴬᵂ		prime-married-to-medicine-c19c.auto
PRIME: MODERN MARVELS ᴿᴬᵂ	PRIME: MODERN MARVELS ᴿᴬᵂ		prime-modern-marvels-f78d.auto
PRIME: MOVIESPHERE BY LIONSGATE ᴿᴬᵂ	PRIME: MOVIESPHERE BY LIONSGATE ᴿᴬᵂ		prime-moviesphere-by-lionsgate-5e43.auto
PRIME: MR BEAN ANIMATED ᴿᴬᵂ	PRIME: MR BEAN ANIMATED ᴿᴬᵂ		prime-mr-bean-animated-10fa.auto
PRIME: MR BEAN LIVE ACTION ᴿᴬᵂ	PRIME: MR BEAN LIVE ACTION ᴿᴬᵂ		prime-mr-bean-live-action-957d.auto
PRIME: MYSTERY TV ᴿᴬᵂ	PRIME: MYSTERY TV ᴿᴬᵂ		prime-mystery-tv-7259.auto
PRIME: MYTHBUSTERS ᴿᴬᵂ	PRIME: MYTHBUSTERS ᴿᴬᵂ		prime-mythbusters-b23f.auto
PRIME: MYTIME MOVIE NETWORK ᴿᴬᵂ	PRIME: MYTIME MOVIE NETWORK ᴿᴬᵂ		prime-mytime-movie-network-4bb9.auto
PRIME: NBC NEWS NOW ᴿᴬᵂ	PRIME: NBC NEWS NOW ᴿᴬᵂ		prime-nbc-news-now-ab92.auto
PRIME: NEIGHBOURS LOOKING BACK ᴿᴬᵂ	PRIME: NEIGHBOURS LOOKING BACK ᴿᴬᵂ		prime-neighbours-looking-back-3327.auto
PRIME: NINJA WARRIOR ᴿᴬᵂ	PRIME: NINJA WARRIOR ᴿᴬᵂ		prime-ninja-warrior-8cfa.auto
PRIME: NORTHERN EXPOSURE ᴿᴬᵂ	PRIME: NORTHERN EXPOSURE ᴿᴬᵂ		prime-northern-exposure-f6aa.auto
PRIME: PATERNITY COURT ᴿᴬᵂ	PRIME: PATERNITY COURT ᴿᴬᵂ		prime-paternity-court-3722.auto
PRIME: PGA TOUR ᴿᴬᵂ	PRIME: PGA TOUR ᴿᴬᵂ		prime-pga-tour-cd7b.auto
PRIME: PINK PANTHER ᴿᴬᵂ	PRIME: PINK PANTHER ᴿᴬᵂ		prime-pink-panther-5f14.auto
PRIME: PREMIER SPORTS 1 ᴿᴬᵂ	PRIME: PREMIER SPORTS 1 ᴿᴬᵂ		prime-premier-sports-1-7ad5.auto
PRIME: PREMIER SPORTS 2 ᴿᴬᵂ	PRIME: PREMIER SPORTS 2 ᴿᴬᵂ		prime-premier-sports-2-fabe.auto
PRIME: REAL CRIME ᴿᴬᵂ	PRIME: REAL CRIME ᴿᴬᵂ		prime-real-crime-956c.auto
PRIME: RED BULL TV ᴿᴬᵂ	PRIME: RED BULL TV ᴿᴬᵂ		prime-red-bull-tv-cadd.auto
PRIME: RIVER MONSTERS ᴿᴬᵂ	PRIME: RIVER MONSTERS ᴿᴬᵂ		prime-river-monsters-5f82.auto
PRIME: ROOKIE BLUE ᴿᴬᵂ	PRIME: ROOKIE BLUE ᴿᴬᵂ		prime-rookie-blue-df62.auto
PRIME: SO...REAL ᴿᴬᵂ	PRIME: SO...REAL ᴿᴬᵂ		prime-so-real-fcf8.auto
PRIME: TALKTV ᴿᴬᵂ	PRIME: TALKTV ᴿᴬᵂ		prime-talktv-fe46.auto
PRIME: TERRA MATER WILD ᴿᴬᵂ	PRIME: TERRA MATER WILD ᴿᴬᵂ		prime-terra-mater-wild-73da.auto
PRIME: THE ADDAMS FAMILY ᴿᴬᵂ	PRIME: THE ADDAMS FAMILY ᴿᴬᵂ		prime-the-addams-family-21d4.auto
PRIME: THE BIGGEST LOSER ᴿᴬᵂ	PRIME: THE BIGGEST LOSER ᴿᴬᵂ		prime-the-biggest-loser-786a.auto
PRIME: THE OUTER LIMITS ᴿᴬᵂ	PRIME: THE OUTER LIMITS ᴿᴬᵂ		prime-the-outer-limits-9a2e.auto
PRIME: THE REAL HOUSEWIVES ᴿᴬᵂ	PRIME: THE REAL HOUSEWIVES ᴿᴬᵂ		prime-the-real-housewives-2062.auto
PRIME: THE SIX MILLION DOLLAR MAN ᴿᴬᵂ	PRIME: THE SIX MILLION DOLLAR MAN ᴿᴬᵂ		prime-the-six-million-dollar-man-eef2.auto
PRIME: THIS OLD HOUSE ᴿᴬᵂ	PRIME: THIS OLD HOUSE ᴿᴬᵂ		prime-this-old-house-22d7.auto
PRIME: TINY HOUSE NATION ᴿᴬᵂ	PRIME: TINY HOUSE NATION ᴿᴬᵂ		prime-tiny-house-nation-58eb.auto
PRIME: TNT SPORTS 4 ᴿᴬᵂ	PRIME: TNT SPORTS 4 ᴿᴬᵂ		prime-tnt-sports-4-e109.auto
PRIME: TRUE CRIME NOW ᴿᴬᵂ	PRIME: TRUE CRIME NOW ᴿᴬᵂ		prime-true-crime-now-691c.auto
PRIME: TRUE CRIME UK ᴿᴬᵂ	PRIME: TRUE CRIME UK ᴿᴬᵂ		prime-true-crime-uk-5da1.auto
PRIME: U&LAUGHS ᴿᴬᵂ	PRIME: U&LAUGHS ᴿᴬᵂ		prime-u-laughs-c80d.auto
PRIME: U&REAL HEROES ᴿᴬᵂ	PRIME: U&REAL HEROES ᴿᴬᵂ		prime-u-real-heroes-ae88.auto
PRIME: U&THE PAST ᴿᴬᵂ	PRIME: U&THE PAST ᴿᴬᵂ		prime-u-the-past-323b.auto
PRIME: U&TRANSPORT ᴿᴬᵂ	PRIME: U&TRANSPORT ᴿᴬᵂ		prime-u-transport-0a72.auto
